city,generations,population_size,offspring_size,scheme,init_time,run_time
qa194.tsp,10,10,1,Truncation,0.7948875427246094,0.03552436828613281
qa194.tsp,10,10,1,Truncation,0.7948875427246094,0.03552436828613281
qa194.tsp,10,10,1,Truncation,0.7779598236083984,0.03170967102050781
qa194.tsp,10,10,2,Truncation,0.7576942443847656,0.03790855407714844
qa194.tsp,10,10,2,Truncation,0.7803440093994141,0.030279159545898438
qa194.tsp,10,10,2,Truncation,0.7863044738769531,0.030517578125
qa194.tsp,10,10,3,Truncation,0.7627010345458984,0.030040740966796875
qa194.tsp,10,10,3,Truncation,0.7538795471191406,0.02956390380859375
qa194.tsp,10,10,3,Truncation,0.7586479187011719,0.02956390380859375
qa194.tsp,10,10,4,Truncation,0.7898807525634766,0.029087066650390625
qa194.tsp,10,10,4,Truncation,0.7524490356445312,0.03218650817871094
qa194.tsp,10,10,4,Truncation,0.7562637329101562,0.028848648071289062
qa194.tsp,10,10,5,Truncation,0.7522106170654297,0.034332275390625
qa194.tsp,10,10,5,Truncation,0.7617473602294922,0.0286102294921875
qa194.tsp,10,10,5,Truncation,0.7634162902832031,0.029802322387695312
qa194.tsp,10,10,6,Truncation,0.7491111755371094,0.029325485229492188
qa194.tsp,10,10,6,Truncation,0.8640289306640625,0.03361701965332031
qa194.tsp,10,10,6,Truncation,0.7941722869873047,0.03147125244140625
qa194.tsp,10,10,7,Truncation,0.7700920104980469,0.029802322387695312
qa194.tsp,10,10,7,Truncation,0.7576942443847656,0.029325485229492188
qa194.tsp,10,10,7,Truncation,0.7734298706054688,0.030040740966796875
qa194.tsp,10,20,2,Truncation,0.8711814880371094,0.029802322387695312
qa194.tsp,10,20,2,Truncation,0.7472038269042969,0.029087066650390625
qa194.tsp,10,20,2,Truncation,0.7832050323486328,0.02956390380859375
qa194.tsp,10,20,4,Truncation,0.7557868957519531,0.030279159545898438
qa194.tsp,10,20,4,Truncation,0.7598400115966797,0.029802322387695312
qa194.tsp,10,20,4,Truncation,0.7572174072265625,0.029325485229492188
qa194.tsp,10,20,6,Truncation,0.751495361328125,0.029325485229492188
qa194.tsp,10,20,6,Truncation,0.7572174072265625,0.029802322387695312
qa194.tsp,10,20,6,Truncation,0.7760524749755859,0.029802322387695312
qa194.tsp,10,20,8,Truncation,0.7581710815429688,0.029802322387695312
